"Country","Region","Year","Population","LifeExpectancy","HealthExpenditure"
"Slovak Republic","Europe & Central Asia",2010,5430099,75.11219512,1445.142849
"Slovenia","Europe & Central Asia",2010,2048583,79.42195122,2064.487017
"Solomon Islands","East Asia & Pacific",2010,538148,67.46519512,93.43990154
"South Africa","Sub-Saharan Africa",2010,49991300,52.0814878,630.926093
"Spain","Europe & Central Asia",2010,46070971,81.62682927,2895.928746
"Sri Lanka","South Asia",2010,20653000,74.72260976,82.03527924
"St. Lucia","Latin America & Caribbean",2010,174000,74.43990244,527.9501329
"St. Vincent and the Grenadines","Latin America & Caribbean",2010,109333,72.11253659,292.9073293
"Sudan","Sub-Saharan Africa",2010,33603637,61.1082439,110.7765254
"Suriname","Latin America & Caribbean",2010,524636,70.33531707,472.0516443
"Swaziland","Sub-Saharan Africa",2010,1055506,48.34280488,242.6825464
"Sweden","Europe & Central Asia",2010,9378126,81.45121951,4708.388906
"Switzerland","Europe & Central Asia",2010,7824909,82.24634146,7699.161783
"Syrian Arab Republic","Middle East & North Africa",2010,20446609,75.70256098,96.58501045
"Tajikistan","Europe & Central Asia",2010,6878637,67.25990244,49.06823121
"Tanzania","Sub-Saharan Africa",2010,44841226,57.3874878,36.7589653
"Thailand","East Asia & Pacific",2010,69122234,73.92765854,179.1481965
"Togo","Sub-Saharan Africa",2010,6027798,56.58870732,39.11017399
"Tonga","East Asia & Pacific",2010,104058,72.15065854,172.2227015
"Trinidad and Tobago","Latin America & Caribbean",2010,1341465,69.755,976.5431982
"Tunisia","Middle East & North Africa",2010,10549100,74.60243902,241.3649283
"Turkey","Europe & Central Asia",2010,72752325,73.69665854,668.3650473
"Turkmenistan","Europe & Central Asia",2010,5041995,64.8635122,105.3740844
"Uganda","Sub-Saharan Africa",2010,33424683,53.61463415,44.00649717
"Ukraine","Europe & Central Asia",2010,45870700,70.27560976,234.353668
"United Arab Emirates","Middle East & North Africa",2010,7511690,76.57360976,1467.48791
"United Kingdom","Europe & Central Asia",2010,62262786,80.40243902,3494.731159
"United States","North America",2010,309349689,78.54146341,8232.875307
"Uruguay","Latin America & Caribbean",2010,3356584,76.23682927,947.7013153
"Uzbekistan","Europe & Central Asia",2010,28562400,68.001,79.92301058
"Vanuatu","East Asia & Pacific",2010,239651,70.8194878,149.2207621
"Venezuela, RB","Latin America & Caribbean",2010,28834000,74.12731707,719.5377285
"Vietnam","East Asia & Pacific",2010,86932500,74.8282439,82.78788554
"Yemen, Rep.","Middle East & North Africa",2010,24052514,65.03046341,79.94274913
"Zambia","Sub-Saharan Africa",2010,12926409,48.4554878,73.84426272
